 run -all
# ---------Generator class signal--------
# a=1,b=1,c=0,sum=0,carry=0
# ---------driver class signals--------
# a=1,b=1,c=0,sum=0,carry=0
# ---------Monitor class signal--------
# a=1,b=1,c=0,sum=0,carry=1
# ---------Score board signals--------
# a=1,b=1,c=0,sum=0,carry=1
# Pass
# ---------Generator class signal--------
# a=0,b=1,c=1,sum=0,carry=0
# ---------driver class signals--------
# a=0,b=1,c=1,sum=0,carry=0
# ---------Monitor class signal--------
# a=0,b=1,c=1,sum=0,carry=1
# ---------Score board signals--------
# a=0,b=1,c=1,sum=0,carry=1
# Pass
# ---------Generator class signal--------
# a=0,b=1,c=1,sum=0,carry=0
# ---------driver class signals--------
# a=0,b=1,c=1,sum=0,carry=0
# ---------Monitor class signal--------
# a=0,b=1,c=1,sum=0,carry=1
# ---------Score board signals--------
# a=0,b=1,c=1,sum=0,carry=1
# Pass
# ---------Generator class signal--------
# a=0,b=0,c=1,sum=0,carry=0
# ---------driver class signals--------
# a=0,b=0,c=1,sum=0,carry=0
# ---------Monitor class signal--------
# a=0,b=0,c=1,sum=1,carry=0
# ---------Score board signals--------
# a=0,b=0,c=1,sum=1,carry=0
# Pass
# ---------Generator class signal--------
# a=1,b=1,c=0,sum=0,carry=0
# ---------driver class signals--------
# a=1,b=1,c=0,sum=0,carry=0
# ---------Monitor class signal--------
# a=1,b=1,c=0,sum=0,carry=1
# ---------Score board signals--------
# a=1,b=1,c=0,sum=0,carry=1
# Pass
